Razão Social,Nome Fantasia,CNPJ,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cluster
RASTRECALL,CARIOCA SHOPPING,,"AVENIDA VICENTE DE CARVALHO, 909,QUIOSQUE 105 PISO 1 - VICENTE DE CARVALHO, RIO DE JANEIRO - RJ,",,,,RIO DE JANEIRO,RJ,Cluster C
ATACADÃO DOS ELETRODOMÉSTICOS DO NORDESTE,CARIRI GARDEN SHOPPING,,"AV PADRE CICERO, 2555 LOJA: 206/207;",,,,JUAZEIRO DO NORTE,CE,Cluster C
ATACADÃO DOS ELETRODOMÉSTICOS DO NORDESTE,CARUARU SHOPPING,,"AV. ADJAR DA SILVA CASE, 800 LOJA 20, INDIANÓPOLIS - CARUARU - PE CEP: 55024-740",,,,CARUARU,PE,Cluster C
JUFAP,CATUAI SHOPPING,,"RODOVIA CELSO GARCIA CID, KM.377 – LOJA 82/83 – GLEBA PALHANO – LONDRINA – PR – CEP: 86050-901",,,,LONDRINA,PR,Cluster B
JUFAP,CATUAI SHOPPING MARINGA,,"AV COLOMBO, 9161 CATUAI SHOP. MARINGA LOJAS 157/158 BAIRRO GLEBA PATRIMONIO MARINGA",,,,MARINGÁ,PR,Cluster B
ALLIED,CAXIAS SHOPPING,,"ROD. WASHINGTON LUIS, 2.895, QUIOSQUE Q11, PARQUE DUQUE - DUQUE DE CAXIAS - RJ",,,,DUQUE DE CAXIAS,RJ,Cluster C
RASTRECALL,CENTER SHOPPING RIO,,"RUA GEREMARIO DANTAS, 404 - RIO DE JANEIRO / RJ - QUIOSQ: Q11 PISO L1",,,,RIO DE JANEIRO,RJ,Cluster C
CS COMERCIO DE ELETRONICOS,CENTER SHOPPING UBERLANDIA,,"AV JOAO NAVES DE AVILA, 1331 - LOJA: 1214 - CEP: 38405-140 TIBERY UBERLANDIA MG",,,,UBERLANDIA,MG,Cluster C
ALLIED,CENTERVALE SHOPPING,,"AV DEPUTADO BENEDITO MATARAZZO, 9403, LOJAS USO COMERCIAL N. 164, JARDIM OSWALDO CRUZ, SAO JOSE DOS CAMPOS - SP",,,,SÃO JOSÉ DOS CAMPOS,SP,Cluster B
ARTE TELECOM,CIDADE SÃO PAULO,,"AV PAULISTA, 1230 - BELA VISTA, SÃO PAULO/SP - PISO TERREO SUC 0126",,,,SÃO PAULO,SP,Cluster B
MASTERCELL,CONTINENTE PARK,,ROD BR 101 - SN - KM 211 SALA L104 - CEP: 88104-800 - DISTRITO INDUSTRIAL - SÃO JOSÉ (SC),,,,SÃO JOSÉ,SC,Cluster C
MARTINELLO,DIAMOND MALL,,"AVENIDA OLEGÁRIO MACIEL, 1600, PISO 1, LOJA 24A, LOURDES, BELO HORIZONTE - MG. CEP- 30180-915",,,,BELO HORIZONTE,MG,Cluster C
ALLIED,ELDORADO,,"AV. REBOUÇAS, 3970 - PINHEIROS",,,,SÃO PAULO,SP,Cluster C
