Razão Social,Nome Fantasia,CNPJ,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cluster
CHIPCRED,SHOPPING ANALIA FRANCO,,"AV REGENTE FEIJO, 1739 - LOJA LUC OQ-33 PAVLH SHOP ANALIA FRANCO - CEP: 03342-000 - VILA REGENTE FEIJO - SAO PAULO (SP)",,,,SÃO PAULO,SP,Cluster C
NAGEM,SHOPPING ARICANDUVA,,"AV ARICANDUVA, 5555, JARDIM ARICANDUVA - SÃO PAULO/SP (CEP 03527-009) LOJA 238",,,,SÃO PAULO,SP,Cluster B
RASTRECALL,SHOPPING BANGU,,"R FONSECA, 240 LOJA N 124/124-A - BANGU RIO DE JANEIRO",,,,RIO DE JANEIRO,RJ,Cluster B
RASTRECALL,SHOPPING BANGU LOJA 2,,"R FONSECA, 240, QUIOSQ Q04-A - CEP: 21820-005 BANGU - RIO DE JANEIRO (RJ)",,,,RIO DE JANEIRO,RJ,Cluster C
ESB TELEFONES,SHOPPING BARRA SALVADOR,,"AV CENTENARIO, 2992 - LOJA 149 A L 1 SHOPPING BARRA - CEP: 40155-150 - CHAME-CHAME - SALVADOR - SP",,,,SALVADOR,BA,Cluster A
ESB TELEFONES,SHOPPING BELA VISTA,,"AL EUVALDO LUZ, 92 QUIOSQUE Q19,1 PISO L1",,,,SALVADOR,BA,Cluster C
MULTISOM,SHOPPING BELLA CITTA,,"R CORONEL CHICUTA, 355 LOJA 11 SHOPPING BELLA CITTA - CEP: 99010-050 - CENTRO - PASSO FUNDO - RS",,,,PASSO FUNDO,RS,Cluster C
CELLULAR MIX,SHOPPING BOULEVARD TATUAPE,,"R GONCALVES CRESPO, 78 - TATUAPÉ, SÃO PAULO - SP (03.066-030) - QUIOSQ: 29; PAVMTO: 1",,,,SÃO PAULO,SP,Cluster C
MULTISOM,SHOPPING BOURBON COUNTRY,,"AV TULIO DE ROSE, 80 QUIOSQQ 01Q05 PASSO D'AREIA CEP 91340-110",,,,PORTO ALEGRE,RS,Cluster C
PRIMETEK,SHOPPING BURITI,,"AV. RIO VERDE, SEM NÚMERO - QD. 102, PISO TÉRRIO - LOJA 177 - CEP 74916-260 - GOIÂNIA - GO.",,,,APARECIDA DE GOIÂNIA,GO,Cluster C
PRIMETEK,SHOPPING BURITI RIO VERDE,,"R O, 1044 QUADRA015 LOTE 01 LUC'S: 007/008 CEP 75.907-681 BAIRRO RESIDENCIAL JARDIM CAMPESTRE RIO VERDE GO",,,,RIO VERDE,GO,Cluster C
ARTE TELECOM,SHOPPING BUTANTÃ,,"AV. PROF. FRANCISCO MORATO, 2718 – QUIOSQUE: QT-1M",,,,SÃO PAULO,SP,Cluster C
ARTE TELECOM,SHOPPING CAMPINAS,,"R JACY TEIXEIRA DE CAMARGO, 940 QUIOESQUE 32 ",,,,CAMPINAS,SP,Cluster C
ARTE TELECOM,SHOPPING CAMPO GRANDE,,"AV AFONSO PENA, 4909, LOJA 2019 A CEP: 79031-900 - SANTA FE - CAMPO GRANDE MS",,,,CAMPO GRANDE,MS,Cluster B
B&F TELECOMUNICACOES,SHOPPING CAMPO LIMPO,,"EST DO CAMPO LIMPO, 459 COMPLEMENTO : EUC N 361; : SHOP. CAMPO LIMPO; CEP 05777-000 BAIRRO/DISTRITO VILA PREL",,,,SÃO PAULO,SP,Cluster B
CS COMERCIO DE ELETRONICOS,SHOPPING CENTER 3,,AV PAULISTA 2064 - LOJA: LUC A-41 B; CEP: 01310-928 - SÃO PAULO (SP),,,,SÃO PAULO,SP,Cluster C
ALLIED,SHOPPING CENTER NORTE,,"TV CASALBUONO, 120 - LOJA DE USO COMERCIAL (LUC) L950 SHOP CENTER NORTE - 02089-900 - VILA GUILHERME - SAO PAULO (SP)",,,,SÃO PAULO,SP,Cluster A
JUFAP,SHOPPING CENTER SÃO JOSE,,"R IZABEL A REDENTORA, 1434 QUIOSQUE Q-103 SHOPPING SAO JOSE",,,,SÃO JOSÉ DOS PINHAIS,PR,Cluster C
MARTINELLO,SHOPPING CIDADE BH,,"R RIO DE JANEIRO, 910 EDIF: SHOPPING CIDADE; PISO GOITACASES LOJA G04",,,,BELO HORIZONTE,MG,Cluster C
MRF,SHOPPING CONJUNTO NACIONAL BRASILIA,,"ST DE DIVERSOES NORTE CONJUNTO A, S/N - LOJA 2072 2 PISO CEP: 70077-000 - ASA NORTE - BRASILIA (DF)",,,,BRASÍLIA,DF,Cluster C
B&F TELECOMUNICACOES,SHOPPING CONQUISTA SUL,,"AV. JURACY MAGALHAES, 3340 BAIRRO BOA VISTA MUNICIPIO VITORIA DA CONQUISTA LOJA 47 E 48 CEP 45026-090",,,,VITORIA DA CONQUISTA,BA,Cluster B
MARTINELLO,SHOPPING CONTAGEM,,"AVENIDA SEVERINO BALLESTEROS, 99 RESSACA- 32110-005- CONTAGEM",,,,CONTAGEM,MG,Cluster C
JUFAP,SHOPPING CURITIBA,,"R. BRIGADEIRO FRANCO, 2300 QUIOSQUE Q-210 PISO L2",,,,CURITIBA,PR,Cluster C
ARTE TELECOM,SHOPPING D,,AV. CRUZEIRO DO SUL 1.100 LOJA 1054,,,,SÃO PAULO,SP,Cluster C
ESB TELEFONES,SHOPPING DA BAHIA PISO 1,,"AVENIDA TANCREDONEVES, 148 LOJA09 E 10 QUADRAB",,,,SALVADOR,BA,Cluster B
ESB TELEFONES,SHOPPING DA BAHIA PISO 3,,"AV.TANCREDO NEVES Nº 148, LOJA 1 A 3, 3º PISO, QUADRA X CAMINHO DAS ARVORES, CEP 41820-908, SALVADOR/BA.",,,,SALVADOR,BA,Cluster A
B&F TELECOMUNICACOES,SHOPPING DA ILHA,,"AV DANIEL DE LA TOUCHE, 987 - LOJA: 213 D/E/F/M/N; CEP: 65074-115 - COHAMA - SÃO LUIS - MA",,,,SÃO LUIS,MA,Cluster A
B&F TELECOMUNICACOES,SHOPPING DEL PASEO,,"AV SANTOS DUMONT, 3131 SHOPPING DEL PASEO HALL L2",,,,FORTALEZA,CE,Cluster B
MARTINELLO,SHOPPING DEL REY,,"AV. PRESIDENTE CARLOS LUZ, 3001, LOJA 1049, CAIÇARAS, CEP 31250-010, BELO HORIZONTE, MG",,,,BELO HORIZONTE,MG,Cluster B
JUFAP,SHOPPING ESTAÇÃO,,"AV. SETE DE SETEMBRO, 2775",,,,CURITIBA,PR,Cluster C
MARTINELLO,SHOPPING ESTAÇÃO BH,,"AV CRISTIANO MACHADO, 11833 - SHOPPING ESTACAO BH; CEP: 31744-007 - VILA CLORIS - BELO HORIZONTE (MG)",,,,BELO HORIZONTE,MG,Cluster C
CS COMERCIO DE ELETRONICOS,SHOPPING FREI CANECA,,"R FREI CANECA, 569 - LOJA: 310 CEP: 01307-001 - CONSOLACAO - SAO PAULO (SP)",,,,SÃO PAULO,SP,Cluster C
ARTE TELECOM,SHOPPING GRAND PLAZA,,"AV. INDUSTRIAL, 600 LOJA 329 CEP 09080-500 JARDIM - SANTO ANDRÉ (SP)",,,,SANTO ANDRÉ,SP,Cluster B
ALLIED,SHOPPING GRANDE RIO,,"R MARIA SOARES SENDA, 111 LOJA 263/65",,,,SÃO JOÃO DO MERITI,RJ,Cluster B
B&F TELECOMUNICACOES,SHOPPING GRANJA VIANA,,"ENDEREÇO : ROD RAPOSO TAVARES, 400 – LUC 367 PISO L2 SHOP GRANJA VIANNA – CEP 06707-000 – COTIA / SP",,,,COTIA,SP,Cluster B
MULTISOM,SHOPPING GRAVATAI,,AV. CENTENÁRIO 555 LOJA 242 A - PASSO DAS PEDRAS - GRAVATAÍ- RS CEP. 94035-240,,,,GRAVATAI,RS,Cluster C
NAGEM,SHOPPING GUARARAPES,,"AV BARRETO DE MENEZES, 800 SUC 237",,,,JABOATÃO DOS GUARARAPES,PE,Cluster C
NAGEM,SHOPPING IBIRAPUERA,,"AV IBIRAPUERA, 3103 - SUC 61 PISO CAMPO BELO SHOPPING CENTER IBIRAPUERA CEP: 04029-902 INDIANAPOLIS - SAO PAULO - SP",,,,SÃO PAULO,SP,Cluster B
MRF,SHOPPING IGUATEMI BRASILIA,,"ST SHIN CA 4 LOTE A, SN - LOJA 40 PISO SEMI-ENTERRADO - CEP: 71503-504 - LAGO NORTE - BRASÍLIA (DF)",,,,BRASÍLIA,DF,Cluster B
ARTE TELECOM,SHOPPING IGUATEMI CAMPINAS,,"AV. IGUATEMI, 777 QUIOSQUE EM FRENTE DA CLARO 102 - CEP 13092-500 - VILA BRANDINA - CAMPINAS - SÃO PAULO",,,,CAMPINAS,SP,Cluster B
CELLULAR MIX,SHOPPING IGUATEMI CAXIAS DO SUL,,"ROD RSC 453 KM 3,5, 2780 - LOJA 162 CEP: 95110-130 - DESVIO RIZZO - CAXIAS DO SUL (RS)",,,,CAXIAS DO SUL,RS,Cluster B
ALLIED,SHOPPING IGUATEMI ESPLANADA,,"AV GISELE CONSTANTINO, 1800 - LOJAS USO COMERCIAL N 164 - CEP: 18110-650 - PARQUE BELA VISTA - VOTORANTIM (SP)",,,,SOROCABA,SP,Cluster B
MASTERCELL,SHOPPING IGUATEMI FLORIPA,,"AV. MADRE BENVENUTA, 687 - SALA 269 - CEP: 88035-000 - SANTA MÔNICA - FLORIANÓPOLIS (SC)",,,,FLORIANÓPOLIS,SC,Cluster B
MULTISOM,SHOPPING IGUATEMI POA,,"AV JOAO WALLIG, 1800 - LOJA 126 CEP: 91340-001 - PASSO DAREIA - PORTO ALEGRE (RS)",,,,PORTO ALEGRE,RS,Cluster A
ARTE TELECOM,SHOPPING IGUATEMI SÃO CARLOS,,"PASSEIO DOS FLAMBOYANTS, 200 QUIOSQ: Q - 109;",,,,SÃO CARLOS,SP,Cluster C
NAGEM,SHOPPING INTERLAGOS,,"AV INTERLAGOS, 2255, ARCO 259/260, BAIRO JARDIM UMUARAMA - SAO PAULO/SP (04661-903)",,,,SÃO PAULO,SP,Cluster B
NAGEM,SHOPPING INTERNACIONAL DE GUARULHOS,,R ENGENHEIRO CAMILO OLIVETTI 295 LOJA L04 E L05 PISO SUPERIOR INTER SHOP GUARULHOS CEP: 07042-040 ITAPEGICA - GUARULHOS,,,,GUARULHOS,SP,Cluster C
ARTE TELECOM,SHOPPING JARAGUÁ,,AV ALBERTO BENASSI 2.270 QUIOSQQ 27 SHOPPING JARAGUA ARA,,,,ARARAQUARA,SP,Cluster C
MASTERCELL,SHOPPING JARAGUA DO SUL,,"AV GETULIO VARGAS , 268 -QUIOSQ32 - CEP 89251-970 CENTRO",,,,JARAGUÁ DO SUL,SC,Cluster C
RASTRECALL,SHOPPING JARDIM GUADALUPE,,AV. BRASIL N.22155 QUIOSQUE 1* PISO - JARDIM GUADALUPE - CEP. 21.670-000 - RJ,,,,RIO DE JANEIRO,RJ,Cluster C
NAGEM,SHOPPING JARDIM SUL,,"AV. GIOVANNI GRONCHI, 5819 - LOJA 417, 418 E 419 PISO 2 SHOPPING JARDIM SUL - MORUMBI, SÃO PAULO, CEP: 05724-020",,,,SÃO PAULO,SP,Cluster B
NAGEM,SHOPPING JARDINS,,"AV MINISTRO GERALDO BARRETO SOBRAL, 215 - QUIOSQ: 24 - CEP: 49026-010 - JARDINS - ARACAJU(SE)",,,,ARACAJU,SE,Cluster C
B&F TELECOMUNICACOES,SHOPPING JEQUITIBA,,"AV AZIZ MARON, S/N LOJA LAH26A",,,,ITABUNA,BA,Cluster B
ESB TELEFONES,SHOPPING LAPA,,"AV TANCREDO NEVES, 148 LOJA 09 E 10 QUADRAB SHOPPING IGUATEMI",,,,SALVADOR,BA,Cluster C
ALLIED,SHOPPING LEBLON,,"AV AFRANIO DE MELO FRANCO, 290, LOJAS 108 C/D - CEP: 22430-060 - LEBLON RJ",,,,RIO DE JANEIRO,RJ,Cluster A
CHIPCRED,SHOPPING LIGHT,,"RUA CORONEL XAVIER DE TOLEDO, 23 QR.5.3; TERREO",,,,SÃO PAULO,SP,Cluster C
PROSPERUS,SHOPPING MESTRE ALVARO,,"AV JOAO PALACIO S/N, 300 - LOJA: Q106A; CEP: 29160-925 -EURICO SALLES - SERRA - ES",,,,SERRA,ES,Cluster C
CS COMERCIO DE ELETRONICOS,SHOPPING METRO ITAQUERA,,"AV JOSE PINHEIRO BORGES, S/N, ESPAÇO COMERCPIAL 158; VILA CAMPANELA, SÃO PAULO-SP",,,,SÃO PAULO,SP,Cluster C
ALLIED,SHOPPING METRO SANTA CRUZ,,"R DOMINGOS DE MORAES, 2564 - LOJAS USO COMERCIAL N L7/T - CEP: 04036-100 - VILA MARIANA - SÃO PAULO (SP)",,,,SÃO PAULO,SP,Cluster A
CELLULAR MIX,SHOPPING METRO TATUAPE,,"AVENIDA RADIAL LESTE, S/N LOJA: 129 PISO TATUAPE",,,,SÃO PAULO,SP,Cluster A
CELLULAR MIX,SHOPPING METRO TUCURUVI,,"AV DOUTOR ANTONIO MARIA LAET, 566 - LOJA 11.1 PRIMEIRO PISO TERREO CEP: 02240-000 - PARADA INGLESA - SÃO PAULO (SP)",,,,SÃO PAULO,SP,Cluster B
NAGEM,SHOPPING METROPOLE,,"PRAÇA SAMUEL SABATINI, 200 - LOJA 224 E 225 CENTRO, SÃO BERNARDO DO CAMPO",,,,SÃO BERNARDO,SP,Cluster C
B&F TELECOMUNICACOES,SHOPPING METROPOLITANO BARRA,,"AV NS PAA 10292 PAL 38883,135 PISO L1 LOJA 1057",,,,RIO DE JANEIRO,RJ,Cluster B
ALLIED,SHOPPING MORUMBI,,"AV ROQUE PETRONI JUNIOR, 1089 - LOJA USO COMERCIAL N 16 LL - CEP: 04707-900 - BROOKLIN - SAO PAULO (SP)",,,,SÃO PAULO,SP,Cluster A
PROSPERUS,SHOPPING MOXUARA,,"ROD BR-262 6555, 6555 KM: 5; LOJA: 306 A/B; : PISO L-3; : SHOPPING MOXARA;",,,,CARIACICA,ES,Cluster C
JUFAP,SHOPPING MUELLER,,"AV CANDIDO DE ABREU, 127 - LOJA ML-50 -CEP: 80530-000",,,,CURITIBA,PR,Cluster B
MASTERCELL,SHOPPING MUELLER JOINVILLE,,"RUA SENADOR FELIPE SCHMIDT, 235 (KSK18 - 2° ANDAR) - CENTRO, JOINVILLE - SC, 89201-440",,,,JOINVILLE,SC,Cluster C
ALLIED,SHOPPING NITEROI,,"R XV DE NOVEMBRO, 08 LOJA 166 LOJA 167 CEP: 24020-125 CENTRO - NITERÓI",,,,NITEROI,RJ,Cluster A
ARTE TELECOM,SHOPPING NORTE SUL PLAZA,,"AVENIDA PRESIDENTE ERNESTO GEISEL, 2300 - JARDIM JÓQUEI CLUB, CAMPO GRANDE - MS",,,,CAMPO GRANDE,MS,Cluster C
ATACADÃO DOS ELETRODOMÉSTICOS DO NORDESTE,SHOPPING NORTH CARUARU,,"AV. ADJAR DA SILVA CASE, 800 LOJA 20, INDIANÓPOLIS - CARUARU - PE CEP: 55024-740",,,,CARUARU,PE,Cluster C
ALLIED,SHOPPING NOVA AMERICA,,"AV PASTOR MARTIN LUTHER KING JUNIOR 126, ( LUC ) 1427 SHOP NOVA AMERICA, BAIRO DEL CASTILHO - RIO DE JANEIRO/RJ (20765-000)",,,,RIO DE JANEIRO,RJ,Cluster B
RASTRECALL,SHOPPING NOVA IGUAÇU,,"AV ABÍLIO AUGUSTO TÁVORA, Nº 1.111 - (QUIOSQUE QP23) - BAIRRO DA LUZ - NOVA IGUAÇU – RIO DE JANEIRO",,,,NOVA IGUAÇU,RJ,Cluster C
JUFAP,SHOPPING PALLADIUM,,"AV. PRESIDENTE KENNEDY, 4121 - LOJA Q-118 SHOP PALLADIUM - CEP: 80610-905 - PORTÃO - CURITIBA",,,,CURITIBA,PR,Cluster C
B&F TELECOMUNICACOES,SHOPPING PALMAS,,"Q 101 SUL NSA, CONJ 02, LOTE 10, Q 07, PALMAS SHOPPING, S/N CEP: 77015-972 PLANO DIRETOR SUL PALMAS (TO)",,,,PALMAS,TO,Cluster C
KADRI COMERCIO DE ELETRONICOS,SHOPPING PANTANAL,,"AV. HISTORIADOR RUBENS DE MENDONCA, 3300 COMPLEMENTO SALA 2026 E 2027. CEP 78050-000 BAIRRO DISTRITO BOSQUE DA SAUDE",,,,CUIABA,MT,Cluster C
KADRI COMERCIO DE ELETRONICOS,SHOPPING PANTANAL KIOSK,,"AV. HISTORIADOR RUBENS DE MENDONÇA, 3300. QUIOSQUE 320 SHOPPING PANTANAL. CEP 78050-000 BAIRRO DISTRITO BOSQUE DA SAUDE",,,,CUIABA,MT,Cluster C
ESB TELEFONES,SHOPPING PARALELA,,"AV LUIZ VIANA FILHO, 8544 - QUADRA E, LOJA 106, 1º PISO - CEP: 41701-005 PARALELA - SALVADOR (BA)",,,,SALVADOR,BA,Cluster B
VOCE MOBILE COMERCIO,SHOPPING PARANGABA,,"R GERMANO FRANK, 300 LOJA 327",,,,FORTALEZA,CE,Cluster B
ARTE TELECOM,SHOPPING PARQUE DAS BANDEIRAS,,"AV JOHN BOYD DUNLOP , N 3900 - QUIOSQUE 302 - PISO L3 CEP 13060-803 CAMPINAS SP",,,,CAMPINAS,SP,Cluster C
PRIMETEK,SHOPPING PASSEIO DAS AGUAS,,"AV PERIMETRAL NORTE, 8303, LOJA 113/114 ANDAR TERREO PISO 1 CEP: 74445-360 - FAZENDA CAVEIRAS - GOIANIA (GO)",,,,GOIANIA,GO,Cluster C
RASTRECALL,SHOPPING PÁTIO ALCÂNTARA,,"PRAÇA CARLOS GIANELLI, S/N L2-Q25 - CEP 24710-465 - SÃO GONÇALO - ALCANTARA",,,,SÃO GONÇALO,RJ,Cluster C
INFO STORE COMPUTADORES DA AMAZÔNIA,SHOPPING PATIO BELEM,,"TV PADRE EUTIQUIO, 1078 LOJA 120 1º PISO - SHOPPING PÁTIO BELÉM CEP 66023-710 BATISTA CAMPOS",,,,BELÉM,PA,Cluster B
MRF,SHOPPING PATIO BRASIL,,ST COMERCIAL SUL QUADRA 07 BLOCO A SN LOJA 01T TERREO PARTE LOJA T065/066 ASA SUL BRASILIA - DF CEP: 70.307-902,,,,BRASÍLIA,DF,Cluster B
MASTERCELL,SHOPPING PATIO CHAPECO,,"AV FERNANDO MACHADO, 4000, D LOJA 06, LIDER - CHAPECÓ - SC",,,,CHAPECÓ,SC,Cluster C
ALLIED,SHOPPING PÁTIO CIANE,,"AV AFONSO VERGUEIRO, 823 - QUIOSQUE 29",,,,SOROCABA,SP,Cluster C
AQUILON,SHOPPING PATIO HIGIENOPOLIS,,"AV. HIGIENÓPOLIS, 674 - PISO PACAEMBU - HIGIENÓPOLIS - SÃO PAULO (SP) - CEP: 01238-000",,,,SÃO PAULO,SP,Cluster A
INFO STORE COMPUTADORES DA AMAZÔNIA,SHOPPING PATIO MARABA,,Q QUADRA 15 FOLHA 30 LOE 10 S/N - LOJA 248/249 2 PISO SHOPPING CENTER PATIO MARABA - CEP: 68507-445 - NOVA MARABA - MARABA (PA),,,,MARABÁ,PA,Cluster C
NAGEM,SHOPPING PATIO PAULISTA,,"R TREZE DE MAIO, 1947, QUISOQUE MC 11 - CEP: 01327-900 - BELA VISTA SP",,,,SÃO PAULO,SP,Cluster B
MULTISOM,SHOPPING PELOTAS,,"AV. FERREIRA VIANA, 1526 - LJ 28, AREAL - 96085-000 - PELOTAS",,,,PELOTAS,RS,Cluster C
CS COMERCIO DE ELETRONICOS,SHOPPING PENHA,,R DOUTOR JOAO RIBEIRO 304 : ESPACO DE USO COM.; : EUC N 2108/11; : PISO ANTONIO LOBO;,,,,SÃO PAULO,SP,Cluster C
ALLIED,SHOPPING PIRACICABA,,"AV. LIMEIRA, 722 LOJAS SÓ COMERCIAL N108A E 109 CEP 13414-018 BAIRRO VILA REZENDE",,,,PIRACICABA,SP,Cluster B
ALLIED,SHOPPING PLAZA AVENIDA,,"AV JOSE MUNIA,4775 - LOJA USO COMERCIAL 230 CEP: 15085-350 - NOVA REDENTORA - SAO JOSE DO RIO PRETO (SP)",,,,SÃO JOSÉ DO RIO PRETO,SP,Cluster B
B&F TELECOMUNICACOES,SHOPPING PLAZA MACAE,,"AV ALOISIO DA SILVA GOMES, 800 LOJA 104",,,,MACAÉ,RJ,Cluster B
ALLIED,SHOPPING PLAZA NITEROI,,"R XV DE NOVEMBRO, 08 LOJA 166 LOJA 167 CEP: 24020-125 CENTRO - NITERÓI",,,,NITEROI,RJ,Cluster A
NAGEM,SHOPPING PLAZA SUL,,"PRAÇA LEONOR KAUPA, 100 - CURSINO, SÃO PAULO, CEP:05141-100 - LOJA 181 PISO IMIGRANTES SHOP C - JARDIM SAUDE",,,,SÃO PAULO,SP,Cluster B
INFO STORE COMPUTADORES DA AMAZÔNIA,SHOPPING PONTA NEGRA,,"AV CEL TEIXEIRA, 5705 - LOJA 68 1 PISO SHOPPING PONTA NEGRA - CEP: 69037-000 - PONTA NEGRA - MANAUS (AM)",,,,MANAUS,AM,Cluster C
CELLULAR MIX,SHOPPING PRAÇA DA MOÇA,,"R MANOEL DA NOBREGA (PRQ S SETEMBRO), 712 -QUIOSQ: Q13 PISO PAINEIRAS",,,,DIADEMA,SP,Cluster C
PROSPERUS,SHOPPING PRAIA DA COSTA,,AV DOUTOR OLIVIO LIRA 353 LOJA: Q107A; CEP: 29101-260 - PRAIA DA COSTA - VILA VELHA - ES,,,,VILA VELHA,ES,Cluster C
MULTISOM,SHOPPING PRAIA DE BELAS,,"AV PRAIA DE BELAS, 1181 LOJA 3060 CEP 90110-001 PRAIA DE BELAS",,,,PORTO ALEGRE,RS,Cluster B
B&F TELECOMUNICACOES,SHOPPING PREMIO,,"AV COLETORA , A LOJA 71 E 72 S/N",,,,NOSSA SENHORADO SOCORRO,SE,Cluster C
B&F TELECOMUNICACOES,SHOPPING RIO ANIL,,"AV SAO LUIS REI DE FRANCA, 08 LOJA: 1048 CEP: 65065-470 TURU SÃO LUIS (MA)",,,,SÃO LUIS,MA,Cluster A
NAGEM,SHOPPING RIO MAR ARACAJU,,"AV LUIZ LUA GONZAGA,400 - QUIOSQ: Q206; CEP: 49035-500 - COROA DO MEIO - ARACAJU(SE)",,,,ARACAJU,SE,Cluster C
NAGEM,SHOPPING RIO MAR FORTALEZA,,"R LAURO NOGUEIRA, 1355 : LUC 1140;",,,,FORTALEZA,CE,Cluster C
PROSPERUS,SHOPPING RIO SUL,,"RUA LAURO MULLER, 116 - 3ºPISO LOJA C-34 BOTAFOGO RJ CEP 22290-160",,,,RIO DE JANEIRO,RJ,Cluster B
NAGEM,SHOPPING RIOMAR RECIFE,,"AV. REPÚBLICA DO LÍBANO, 251 - PINA",,,,RECIFE,PE,Cluster C
CELLULAR MIX,SHOPPING SAN PELEGRINO,,"Av. Rio Branco, 452, QN03 – Bairro São Pelegrino – Caxias do Sul – RS CEP: 98450-000",,,,CAXIAS DO SUL,RS,Cluster C
MARTINELLO,SHOPPING SETE LAGOAS,,AV. OTÁVIO CAMPELO RIBEIRO 2801 BAIRRO ELDORADO CIDADE DE SETE LAGOAS - CEP 35702-153 LOJA SSL00280,,,,SETE LAGOAS,MG,Cluster C
NAGEM,SHOPPING SP MARKET,,"AV DAS NACOES UNIDAS, 22.540 - LOJA A6-23 SHOPPING SP MARKET CENTER CEP: 04795-000 - SOCORRO - SP",,,,SÃO PAULO,SP,Cluster B
PRIMETEK,SHOPPING SUL,,"BR 040 KM 12, GLEBA F, S/N , QD 01, LT 01",,,,VAL PARAISO,GO,Cluster C
RASTRECALL,SHOPPING SULACAPE,,"AVENIDA MARECHAL FONTENELLE, 3545 QUIOSQUE MKT 22 - CEP 21750-001 - JARDIM SULACAP - RJ",,,,RIO DE JANEIRO,RJ,Cluster C
NAGEM,SHOPPING SUPER OSASCO,," AVENIDA DOS AUTONOMISTAS, 1828",,,,OSASCO,SP,Cluster C
ARTE TELECOM,SHOPPING SUZANO,,"R SETE DE SETEMBRO, 555 - Q 18 - SUZANO, SP (08673-020)",,,,SUZANO,SP,Cluster C
CS COMERCIO DE ELETRONICOS,SHOPPING TABOÃO,,"RODOVIA RÉGIS BITTENCOURT, 2.643 LOJA 223 TABOÃO DA SERRA/SP | CEP: 06768-200",,,,TABOÃO DA SERRA,SP,Cluster C
NAGEM,SHOPPING TACARUNA,,"AV GOVERNADOR AGAMENON MAGALHAES S/N, 153 LUC 47 ; : 1 PAVIMENTO;",,,,RECIFE,PE,Cluster C
ALLIED,SHOPPING TAMBORE,,"AV PIRACEMA , 669 ANDAR TERREO LOJA 481 - CEP: 06460-030 - PAVLH SHOPPING TAMBORE - BARUERI (SP)",,,,BARUERI,SP,Cluster C
RAKE & RAI,SHOPPING TATUAPE,,"AVENIDA RADIAL LESTE, S/N LOJA: 129 PISO TATUAPE",,,,SÃO PAULO,SP,Cluster A
B&F TELECOMUNICACOES,SHOPPING TOCANTINS,,"R PIAUI, 580, 1 PISO; QUIOSQ: Q12; : TOCANTINS SHOPPING; : CENTER; CEP: 65901-600, CENTRO, IMPERATRIZ - MA",,,,IMPERATRIZ,MA,Cluster C
MULTISOM,SHOPPING TOTAL,,AV CRISTOVÃO COLOMBO 35 - QUIOSQUE 38 - BAIRRO FLORESTA - CEP 90560-003,,,,PORTO ALEGRE,RS,Cluster C
NAGEM,SHOPPING UNIÃO DE OSASCO,,"AV DOS AUTONOMISTAS, 1400 ARCO 305 CEP: 06020-010 - VILA YARA OSASCO (SP)",,,,OSASCO,SP,Cluster B
MARTINELLO,SHOPPING VARZEA GRANDE,,"RUA FILINTO MULLER S/N, LOTE 01 A 15 QUADRA 02 LJ 208",,,,VARZEA GRANDE,MT,Cluster C
VOCE MOBILE COMERCIO,SHOPPING VIA SUL,,"AV WASHINGTON SOARES, 4335- QUIOSQQT-08 CEP:60833-005 BAIRRO SAPIRANGA FORTALEZA CE",,,,FORTALEZA,CE,Cluster C
ALLIED,SHOPPING VILA OLIMPIA,,"R DAS OLIMPIADAS, 360 - LOJAS USO COMERCIAL N 110 E 111 - CEP: 04551-000 - VILA OLIMPIA - SÃO PAULO (SP)",,,,SÃO PAULO,SP,Cluster B
AQUILON,SHOPPING VILLA LOBOS,,"AV. DAS NACOES UNIDAS, 4777 - LJ 359 - ALTO DE PINHEIROS - SÃO PAULO (SP) - CEP: 05477-000",,,,SÃO PAULO,SP,Cluster B
PROSPERUS,SHOPPING VITÓRIA,,"AV. AMÉRICO BUAIZ, 200 LOJA 604 - ENSEADA DO SUÁ VITÓRIA - ESPÍRITO SANTO CEP: 29050-902",,,,VITÓRIA,ES,Cluster A
CHIPCRED,SHOPPING WEST PLAZA,,"AV FRANCISCO MATARAZZO, S/N - ANEXO ARCO 1104 TERREO BLOCO A SETOR SHOPPING WEST PLAZA - CEP: 05003-900 - AGUA BRANCA - SÃO PAULO",,,,SÃO PAULO,SP,Cluster C
INFO STORE COMPUTADORES DA AMAZÔNIA,SUMAUMA PARK SHOPPING,,"AV. NOEL NUTEL Nº 1762 PISO ARARA, LOJAS 2077,2078).",,,,MANAUS,AM,Cluster C
MRF,TAGUATINGA SHOPPING,,Q QS 01 RUA 210 LOTE 40 SALAO COMERCIAL 3065 2 PAVIMENTO TAGUATINGA BRASILIA-DF,,,,BRASÍLIA,DF,Cluster A
B&F TELECOMUNICACOES,TAUBATÉ SHOPPING,,AVENIDA CHARLES SCHNNEIDER - QUIOSQUE 17,,,,TAUBATE,SP,Cluster C
VOCE MOBILE COMERCIO,TERESINA SHOPPING,,"AV RAUL LOPES, Nº 1000 - LOJA 238 TERESINA SHOPPING BAIRRO: NOIVOS TERESINA-PI CEP: 64046-902",,,,TERESINA,PI,Cluster B
MRF,TERRAÇO SHOPPING,,SHC /AO/S EA 2/8 LOTE 05 - LOJA 286 - 1º PAVIMENTO,,,,BRASÍLIA,DF,Cluster B
